,actor,nº formaciones
0,daniel albaladejo,9
9,enrique asenjo,13
22,jacobo camarena,15
37,pedro carvalho,8
45,jason day,6
51,prince ezeanyim,20
71,carlos gorbe,10
81,jorge kent,20
101,marina bellati,20
121,ana bokesa,7
128,andrea dueso,17
145,natalia huarte,15
160,marina varem,34
194,iván-montes,8
204,pepe-sevilla,3
209,mateo-rubistein,11
223,víctor-castilla,8
232,david-mora,13
255,ángel-velasco,12
269,agustin-otón,19
288,rubén-de-eguía,8
299,jesús-caba,3
303,josé-gabriel-campos,27
352,iván-cózar,14
367,ramon-san-román,16
396,miguel-ángel-puro,3
399,gonzalo-trujillo,6
415,javier-mula,6
433,dani-paz,2
435,dani-gallardo,12
455,carlos-de-austria,10
465,pablo-vázquez,5
473,alejandro-sigüenza,10
488,juanma-cifuentes,8
496,manu-hernández,7
503,carlos-seguí,8
514,fernando-moraleda,5
521,víctor-huerta,1
522,joaquín-gómez,3
527,paula-gallego,3
530,alejandra-lorenzo,7
539,irene-rojo,41
595,raquel-nogueira,11
613,ana-verónica-schultz,17
642,gemma-marín,9
654,silvia-acosta,17
682,bárbara-oteiza,8
690,ana-roche,14
707,ana-del-arco,11
720,solange-bruzual,10
730,camille-glemet,20
763,maría-herrador,17
781,camino-fernández,9
794,elena-rayos,5
801,inge-martín,20
828,natalia-hernández,22
859,anabel-maurín,18
885,tatiana-astengo,2
936,eva-trancón,12
960,rosalía-omil,14
978,mar-vidal,20
